Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,01/01/2015,22.34
Belgium,BEL,01/01/2015,36.56
Czechia,CZE,01/01/2015,20.6
Denmark,DNK,01/01/2015,15.51
Estonia,EST,01/01/2015,24.51
Finland,FIN,01/01/2015,24.51
France,FRA,01/01/2015,36.56
Germany,DEU,01/01/2015,22.34
Greece,GRC,01/01/2015,43.37
Hungary,HUN,01/01/2015,32.88
Italy,ITA,01/01/2015,47.72
Latvia,LVA,01/01/2015,33.02
Lithuania,LTU,01/01/2015,28.07
Luxembourg,LUX,01/01/2015,22.34
Netherlands,NLD,01/01/2015,36.56
Norway,NOR,01/01/2015,27.56
Poland,POL,01/01/2015,20.42
Portugal,PRT,01/01/2015,46.59
Romania,ROU,01/01/2015,41.13
Slovakia,SVK,01/01/2015,20.6
Slovenia,SVN,01/01/2015,30.84
Spain,ESP,01/01/2015,46.59
Sweden,SWE,01/01/2015,24.51
Switzerland,CHE,01/01/2015,36.52
Austria,AUT,02/01/2015,22.34
Belgium,BEL,02/01/2015,36.56
Czechia,CZE,02/01/2015,12.27
Denmark,DNK,02/01/2015,8.18
Estonia,EST,02/01/2015,24.81
Finland,FIN,02/01/2015,25.16
France,FRA,02/01/2015,36.56
Germany,DEU,02/01/2015,22.34
Greece,GRC,02/01/2015,60.62
Hungary,HUN,02/01/2015,42.22
Italy,ITA,02/01/2015,47.72
Latvia,LVA,02/01/2015,25.82
Lithuania,LTU,02/01/2015,26.26
Luxembourg,LUX,02/01/2015,22.34
Netherlands,NLD,02/01/2015,36.56
Norway,NOR,02/01/2015,27.9
Poland,POL,02/01/2015,20.42
Portugal,PRT,02/01/2015,54.52
Romania,ROU,02/01/2015,41.13
Slovakia,SVK,02/01/2015,16.31
Slovenia,SVN,02/01/2015,45.05
Spain,ESP,02/01/2015,52.57
Sweden,SWE,02/01/2015,24.98
Switzerland,CHE,02/01/2015,41.49
Austria,AUT,03/01/2015,22.34
Belgium,BEL,03/01/2015,36.56
Czechia,CZE,03/01/2015,18.29
Denmark,DNK,03/01/2015,15.77
Estonia,EST,03/01/2015,24.73
Finland,FIN,03/01/2015,24.73
