Week,2017,2018,2019,2020,2021,2022,2023,2024,2025
Week 1,21575000,25974000,21792000,24273000,28831000,16214535,21066642,22374192,25986238
Week 2,21010000,24946000,21081000,24560000,27682000,15749289,20997452,21148020,24977354
Week 3,20431000,23952000,20173000,24476000,26875000,15047132,20020704,19996998,24442182
Week 4,19759000,23151000,19046000,24254000,25490000,14733590,19130356,19653578,23568022
Week 5,18909000,22263000,18021000,23819000,24358000,14257951,18509650,19339328,22512994
Week 6,17972000,21184000,17279000,23134000,23056454,13791581,17897894,18420454,21404118
Week 7,17116000,20102000,16739000,22764000,21997976,13411681,17311620,17421780,20091282
Week 8,16765000,18859000,16382000,22697000,21946082,12707400,16802574,16517006,19176618
Week 9,16143000,17607000,16027000,21859000,21028490,11670216,15879794,15653768,18545922
Week 10,15257000,16415000,15552000,20956000,20238154,10660841,14815095,14836796,19207340
Week 11,14751000,15304000,15043000,20269000,19226018,9575135,14123720,14329561,18309932
Week 12,14070000,14261000,14796000,19526000,18510602,8703219,13715158,13389449,17551626
Week 13,13917000,13250000,14692000,18645000,19236426,7900623,12949698,12781826,17247078
Week 14,14059000,12381000,14728000,17734000,18807148,7293544,12021845,12475298,16781874
Week 15,14000000,11717000,14154000,17034000,17774482,6593094,11722732,13652747,16562735
Week 16,13405000,12242000,13740000,16572000,17054616,6588652,11639166,13506280,17126466
Week 17,12515000,12842000,15373000,16320000,16014055,6334677,11431233,12655216,16826870
Week 18,12196000,13145000,17120000,15755000,15307387,6335969,11090818,13924479,17551044
Week 19,12082000,16141000,17173000,15293000,16336393,7575908,12214554,15515687,17437362
Week 20,15029000,18010000,17624000,14683000,17608678,8397713,13608443,17992610,17807782
Week 21,16939000,19196000,19777000,14950000,19202970,10289749,15681636,20430324,17859460
Week 22,18408000,20531000,20527000,16551000,20513474,11221400,17238688,22895042,18423238
Week 23,21069000,20983000,22159000,19087000,21274230,12580832,18884706,24007784,19190716
Week 24,22571000,21619000,23412000,21835000,22198664,13910933,20201396,24663278,19293028
Week 25,23486000,22023000,24329000,24597000,22496276,14662910,21406204,25644054,-
Week 26,24035000,21851000,24747000,27119000,22168828,15452105,22385272,26048516,-
Week 27,24108000,21469000,25177000,28699000,22593482,16120569,23009114,26232814,-
Week 28,24135000,21026000,25009000,29467000,22376700,16378502,23928420,26647954,-
Week 29,24215000,20569000,24910000,30083000,21918842,16402670,24986464,26616268,-
Week 30,24428000,20135000,25094000,30430000,22100492,16717333,24951262,26669346,-
Week 31,25351000,20166000,25012000,31825000,21733852,17085000,24859588,26187074,-
Week 32,25713000,20607000,24976000,32036000,21386842,17005580,25572882,26718980,-
Week 33,26039000,21279000,25586000,31652000,20824464,17020204,26250550,26798330,-
Week 34,25963000,21420000,26605000,31705000,20106332,17119092,26178906,27617844,-
Week 35,25600000,21247000,26891000,31613000,19451478,17071218,25814010,28170236,-
Week 36,25972000,21440000,27378000,31451000,18824710,16901952,25359814,28229084,-
Week 37,26940000,23353000,28116000,31941000,18038686,17178680,25308354,28700412,-
Week 38,26922000,24926000,28671000,31851000,17738560,17159852,27387274,28322240,-
Week 39,27171000,25923000,28630000,31848000,18520440,18023794,28113654,28104524,-
Week 40,28758000,26082000,28297000,31998000,19095498,20058792,28570242,27435312,-
Week 41,28944000,26889000,28534000,32525000,19279940,21159410,29455678,27351610,-
Week 42,29123000,27127000,28820000,31964000,19533740,21810842,29450928,27466850,-
Week 43,29621000,27398000,29131000,32053000,20812436,22579802,28827728,28560838,-
Week 44,29608000,26812000,28705000,32359000,21583582,23931948,28542512,29264492,-
Week 45,29214000,26736000,27765000,32986000,21489808,25449076,27676440,28491796,-
Week 46,28658000,27032000,26971000,32548000,21624600,25227514,26675734,28112084,-
Week 47,28535000,26129000,26330000,33388000,20955286,24693174,25919852,27263724,-
Week 48,27729000,25460000,25496000,33137000,19906024,24042326,24790570,27238344,-
Week 49,28027000,24848000,25010000,32388000,18702742,22990452,23794398,27045146,-
Week 50,27108000,23827000,24685000,31518000,18201860,21893510,23273600,26220034,-
Week 51,26945000,23435000,24225000,31082000,17163376,21328774,23621600,26707656,-
Week 52,26794000,22877000,23767000,30772000,16810140,21384042,23361204,26597146,-
Week 53,,,,30004000,,,,,
